Ravenna,Canaday steam plant,Kearney 4,HAYES CENTER 1NW,GRAND ISLAND CENTRAL NE REGIONAL AP,Gothenberg,North Platte Exp Farm,David City
50.6,49.7,50.8,50.5,52.3,65,63.1,51.3
57.2,56.1,58.1,55.6,59.1,68,65.2,58.3
69.4,70,69.9,70,71.5,82.8,79.5,69.7
74.3,74.1,74.5,73.7,75.6,87.4,86.6,73.9
70.6,70.5,71.2,71,72.3,83.4,82.4,70.7
70.2,69.5,70.5,69.8,70.7,81.5,82.7,69
54.9,55.1,55,54.5,56.6,68.2,66.8,55
41.5,40.2,41.9,39.4,43,52.8,50.5,42
31.2,30,32,31.5,32.2,41.8,39.6,29.9
26.6,27.7,27.5,29.7,27,40.6,38.5,20.9
34.2,34.7,34.9,35.3,35.3,48.6,45.8,31
43.1,43.2,43.4,44.4,45.8,61.1,59.3,44.3
50.9,51.1,51.4,49,52.4,63.4,60.9,51.2
57.5,58.9,58.1,56.2,60.2,70.6,66.9,59.2
73,74.1,74.6,72.7,76.4,87.4,84.4,74.9
74.3,74.9,74.9,75,76,86.5,84.3,74.2
72.8,72.5,73,72.3,73.5,83.2,84,72.7
65.7,65.6,66.2,65.3,66.9,78.7,77.8,67.1
55.4,55.4,55.8,55.6,56.7,71.9,69.4,55.3
44,45.3,46,44.5,45,58.3,58,44.5
24.1,25.5,26.3,25.5,25.9,37.7,36.9,22.9
24.7,24.5,28.2,25.9,26.3,35.9,34.1,23.6
35.6,36.2,37.1,37,37.8,50.8,48.3,34.5
41.1,42.4,41.6,43.3,42.2,58.3,56.6,39.9
49.8,49.8,50.7,49.9,51.1,64.2,62,50.4
56.9, ,58,56.1,60.3,71.9,67.3,58.6
72,73.8,73.1,71.5,74.4,86.3,85.1,72.4
76,77.2,76.5,76.8,77.8,90.5,90.3,76.1
68.8,70.2,69.1,69.3,70.1,83,82,68.6
65.7,67.1,66.6,65.1,67.8,80.3,78.4,67.1
51.5,53.2,53,51.6,52.7,65.9,64,52.7
38.5,41.1,39.6,40.9,41.1,53.9,52.1,37.9
