Date,G40,G42,G43,G44,G45,G46,G47,G48,G49,G51,G53,G65
Oct-04,2.150645161,3.516774194,2.593333333,,2.541935484,2.050967742,1.952580645,1.805806452,2.56483871,3.183870968,0.512903226,4.216451613
Nov-04,2.380333333,3.741,2.5825,,2.845333333,2.382608696,2.212333333,2.077,3.459,3.157666667,3.053666667,4.3975
Dec-04,3.057096774,3.799642857,2.45,,3.064193548,2.860625,2.445483871,2.361935484,3.695172414,3.161612903,3.676774194,4.493333333
Jan-05,3.103870968,4.360740741,,,3.332580645,3.101290323,2.626129032,2.762580645,4.167931034,3.162258065,4.029032258,4.130322581
Feb-05,3.182142857,3.834285714,2.5345,,2.99,2.569642857,2.315714286,2.398571429,3.891785714,3.381428571,3.8475,4.112142857
Mar-05,3.124516129,3.786774194,2.604545455,,2.879677419,2.419354839,2.219130435,2.259677419,3.61483871,3.695806452,3.652258065,4.188387097
Apr-05,3.522666667,3.952333333,2.6375,,2.553,2.203333333,2.356428571,2.269333333,3.642666667,4.006333333,3.731,4.393
May-05,4.631935484,3.513548387,5.375483871,3.6195,2.213225806,1.909032258,2.320344828,2.252258065,3.64516129,4.24,3.873548387,5.140322581
Jun-05,4.702,4.344666667,5.461666667,4.274,3.2525,2.572,2.683666667,2.507,3.885333333,4.446153846,3.888,5.588666667
Jul-05,4.1564,2.92516129,5.210322581,3.526129032,1.492903226,1.191935484,1.914516129,1.72,2.747096774,3.803548387,2.797096774,4.211
Aug-05,4.696842105,3.035806452,6.211923077,3.39516129,1.334482759,0.054516129,1.805806452,1.612258065,2.329677419,3.22,1.580967742,3.891111111
Sep-05,3.201,3.073666667,3.593461538,3.222727273,1.305666667,0,1.807931034,1.673,2.748666667,3.2,1.68,4.096666667
Oct-05,2.531612903,3.563225806,2.692222222,1.768064516,1.827419355,1.208709677,1.917391304,1.771290323,2.931612903,3.068064516,1.640645161,4.153870968
Nov-05,2.476333333,3.643333333,2.69,1.769642857,2.201666667,1.988666667,2.056,2.037,3.282666667,3.110666667,2.906666667,4.169666667
Dec-05,2.826774194,3.72125,2.69,1.77,3.20516129,2.803214286,2.68,2.44483871,3.773448276,3.266774194,3.632580645,3.966451613
Jan-06,3.141935484,3.863870968,2.69137931,1.77,2.854193548,2.369354839,2.166363636,2.17516129,3.429677419,3.287419355,3.462580645,3.944193548
Feb-06,3.457857143,3.619411765,2.6875,1.765,2.848571429,2.501785714,2.192857143,1.907857143,3.3875,3.256785714,3.3788,3.967857143
Mar-06,3.498709677,3.965,2.692222222,1.765333333,2.948387097,2.423548387,2.197419355,2.150645161,3.518064516,3.250645161,3.537419355,3.967096774
Apr-06,4.082333333,3.624615385,2.68,1.77,2.317,1.793666667,2.118333333,2.068666667,3.452333333,3.637,3.575333333,4.132333333
May-06,4.211290323,2.865416667,4.563225806,2.507419355,1.602580645,1.127096774,1.802258065,1.445806452,2.834516129,3.950967742,2.996451613,4.433870968
Jun-06,4.246666667,2.799333333,5.040333333,3.308965517,1.470333333,0.974,1.620333333,1.248,2.621666667,4.046333333,2.714666667,5.046
Jul-06,4.533666667,2.781612903,5.132580645,3.23137931,1.291612903,0.599677419,1.247741935,0.98,2.047741935,3.518064516,2.307096774,4.176129032
Aug-06,4.734137931,2.904193548,5.74483871,3.286774194,1.848064516,0.820645161,1.71483871,1.444516129,2.427419355,3.124516129,1.201935484,4.084615385
Sep-06,3.292857143,3.083,3.878666667,2.262333333,1.754,1.15,1.684333333,1.555333333,2.875,3.141666667,2.057333333,4.253666667
