"","G40","G42","G45","G49","G51","G53","G65"
"54",3.452758621,2.974666667,1.463214286,2.633181818,3.831666667,2.505666667,4.877333333
"55",4.276774194,3.215483871,1.804193548,2.861935484,3.939354839,2.714193548,4.489354839
"56",4.268387097,3.093225806,1.57483871,2.27,3.343870968,1.737096774,4.069032258
"57",2.942,3.093666667,1.59137931,2.417419355,3.217,0.696,4.091
"58",2.150645161,3.516774194,2.541935484,2.56483871,3.183870968,0.512903226,4.216451613
"59",2.380333333,3.741,2.845333333,3.459,3.157666667,3.053666667,4.3975
"60",3.057096774,3.799642857,3.064193548,3.695172414,3.161612903,3.676774194,4.493333333
"61",3.103870968,4.360740741,3.332580645,4.167931034,3.162258065,4.029032258,4.130322581
"62",3.182142857,3.834285714,2.99,3.891785714,3.381428571,3.8475,4.112142857
"63",3.124516129,3.786774194,2.879677419,3.61483871,3.695806452,3.652258065,4.188387097
"64",3.522666667,3.952333333,2.553,3.642666667,4.006333333,3.731,4.393
"65",4.631935484,3.513548387,2.213225806,3.64516129,4.24,3.873548387,5.140322581
"66",4.702,4.344666667,3.2525,3.885333333,4.446153846,3.888,5.588666667
"67",4.1564,2.92516129,1.492903226,2.747096774,3.803548387,2.797096774,4.211
"68",4.696842105,3.035806452,1.334482759,2.329677419,3.22,1.580967742,3.891111111
"69",3.201,3.073666667,1.305666667,2.748666667,3.2,1.68,4.096666667
"70",2.531612903,3.563225806,1.827419355,2.931612903,3.068064516,1.640645161,4.153870968
"71",2.476333333,3.643333333,2.201666667,3.282666667,3.110666667,2.906666667,4.169666667
"72",2.826774194,3.72125,3.20516129,3.773448276,3.266774194,3.632580645,3.966451613
"73",3.141935484,3.863870968,2.854193548,3.429677419,3.287419355,3.462580645,3.944193548
"74",3.457857143,3.619411765,2.848571429,3.3875,3.256785714,3.3788,3.967857143
"75",3.498709677,3.965,2.948387097,3.518064516,3.250645161,3.537419355,3.967096774
"76",4.082333333,3.624615385,2.317,3.452333333,3.637,3.575333333,4.132333333
"77",4.211290323,2.865416667,1.602580645,2.834516129,3.950967742,2.996451613,4.433870968
"78",4.246666667,2.799333333,1.470333333,2.621666667,4.046333333,2.714666667,5.046
"79",4.533666667,2.781612903,1.291612903,2.047741935,3.518064516,2.307096774,4.176129032
"80",4.734137931,2.904193548,1.848064516,2.427419355,3.124516129,1.201935484,4.084615385
"81",3.292857143,3.083,1.754,2.875,3.141666667,2.057333333,4.253666667
"82",2.638709677,3.681935484,2.363870968,3.278387097,3.324193548,2.996129032,4.587741935
"83",2.534333333,3.677,2.355,3.451,3.558666667,3.230666667,4.724
"84",3.589677419,3.703870968,2.956774194,3.691071429,3.736451613,3.440645161,4.705806452
"85",3.8675,3.714,3.497741935,3.84,4.158064516,3.601935484,4.467419355
"86",7.2525,4.554615385,4.060555556,4.645,4.214285714,4.208928571,4.195714286
"87",4.051935484,4.471935484,3.358928571,3.978709677,4.471935484,4.020967742,4.24483871
"88",4.1788,4.43037037,3.361666667,4.098333333,4.822,4.125,4.693666667
"89",5.158148148,3.867727273,2.869032258,3.842258065,5.298387097,4.123225806,4.657096774
"90",5.59862069,4.622857143,3.375333333,4.136363636,5.347666667,4.455666667,4.936
"91",5.581935484,4.216774194,2.858709677,3.517741935,4.508064516,3.768387097,4.106451613
"92",5.394516129,3.884482759,2.69483871,3.656774194,4.276774194,3.972580645,4.303225806
"93",3.818,3.22,1.649,2.948,4.218666667,3.340666667,4.198333333
"94",3.581612903,3.768,2.598387097,3.2452,4.757096774,3.663225806,4.688709677
"95",3.612,3.930344828,2.621666667,3.299,4.555,3.664666667,4.391
"96",4.152631579,4.191290323,2.798709677,4.281935484,4.526129032,4.191612903,4.372580645
"97",4.768461538,4.422903226,3.565806452,4.288064516,4.435806452,4.30516129,4.31516129
"98",5.4204,4.45137931,3.280588235,4.566551724,4.464827586,4.532068966,4.312068966
"99",3.776666667,4.408709677,3.019615385,3.589032258,4.628387097,3.959032258,4.516129032
"100",3.991,4.512,2.934615385,3.714333333,4.913666667,4.02,4.67
"101",5.656774194,5.006451613,3.668064516,4.245483871,5.587096774,4.527096774,5.215806452
"102",5.670666667,4.429333333,3.034,4.316666667,5.898666667,5.051666667,5.772666667
"103",5.030967742,4.321290323,2.576451613,3.421,5.025806452,3.787741935,4.644516129
"104",4.775483871,4.006129032,2.347419355,3.121935484,4.301612903,3.372903226,3.997741935
"105",3.877333333,3.676666667,1.518666667,2.720666667,3.996333333,3.062,3.893666667
"106",3.659032258,4.622903226,2.676551724,3.683461538,4.636774194,3.732258065,4.468709677
"107",3.811333333,4.705666667,3.059,3.724,4.854333333,4.049,4.630333333
"108",3.668965517,4.531290323,2.92483871,3.466774194,4.632580645,3.94,4.421612903
"109",3.73,4.792258065,3.320645161,4.143225806,4.553870968,4.306774194,4.3
"110",3.634230769,4.598928571,3.0725,3.788928571,4.626785714,4.091153846,4.366428571
"111",3.524193548,4.343225806,2.796774194,3.45,4.692258065,3.820322581,4.438387097
"112",3.459,5.149,3.391666667,3.738333333,4.660333333,3.903666667,4.395333333
"113",3.673870968,4.022258065,2.240967742,3.35862069,4.627419355,3.626451613,4.241290323
"114",3.952,4.803333333,2.844333333,3.643666667,5.071,4.009,4.597
"115",4.063548387,4.191935484,2.471935484,3.298709677,4.335806452,3.603225806,4.085806452
"116",4.258709677,3.79516129,2.133548387,3.002903226,3.843548387,3.183870968,3.874193548
"117",3.483,4.279666667,2.464333333,3.187,3.764,3.211333333,3.953
"118",3.650322581,4.972580645,3.139677419,3.71516129,3.98,3.747096774,4.150645161
"119",3.987333333,5.571,3.853666667,4.116,4.186,4.121333333,4.358
"120",3.802580645,6.402,4.185806452,4.33516129,4.287142857,4.438709677,4.257741935
"121",3.705,6.501363636,4.348709677,5.246774194,4.13,5.136896552,4.147096774
"122",3.456538462,5.045185185,3.486785714,5.039285714,4.245769231,4.9225,4.12
"123",4.086129032,5.308666667,3.818387097,4.514193548,4.4304708225,4.662903226,4.924516129
"124",3.899666667,5.146666667,3.366333333,3.838666667,4.615172414,4.033,4.463666667
"125",3.788387097,5.692580645,3.85483871,4.218064516,4.521153846,4.268387097,4.411290323
"126",5.153333333,6.657692308,5.193333333,5.313333333,4.6517435895,5.414,6.090357143
"127",4.368387097,5.514545455,3.891612903,4.413809524,4.782333333,4.592903226,5.080645161
"128",4.127419355,5.319354839,3.336129032,3.855483871,3.956451613,3.975806452,4.191290323
"129",3.286333333,5.763666667,3.614333333,3.999,3.686666667,3.996666667,4.04
"130",3.002258065,5.750645161,3.558387097,4.113548387,3.760645161,4.156774194,4.157096774
"131",3.056333333,5.926666667,3.811666667,4.173793103,3.755666667,4.232333333,4.237
"132",3.140689655,5.807741935,3.956774194,4.699666667,3.710967742,4.817096774,4.174193548
"133",3.154166667,5.607096774,5.248148148,5.377741935,3.638709677,4.978387097,4.096774194
"134",3.144615385,5.880357143,4.535714286,5.269615385,3.79,5.425,4.216428571
"135",3.121935484,6.405806452,4.571935484,4.620322581,3.930967742,4.877419355,4.262903226
"136",3.18,6.568,4.686666667,4.895,4.228,4.822333333,4.583333333
"137",3.41483871,6.680322581,4.84516129,5.01516129,4.922258065,5.042258065,5.535806452
"138",3.972,7.610333333,5.908888889,5.817666667,4.931,5.889,4.942692308
"139",4.257,6.966296296,5.221935484,5.342580645,4.688709677,5.599677419,4.508064516
"140",4.189032258,6.368709677,4.46516129,4.766451613,4.399677419,4.916451613,4.330967742
"141",3.583,6.560666667,4.586333333,4.842666667,3.979,4.854,4.063928571
"142",3.386774194,6.348709677,4.328387097,4.717419355,3.890645161,4.801935484,4.133548387
"143",3.216,5.949333333,3.867666667,4.346333333,3.903,4.447333333,4.245
"144",3.312903226,5.917741935,3.851034483,4.345806452,3.945483871,4.42516129,4.161935484
"145",3.232333333,6.00516129,3.868064516,4.539354839,3.930322581,4.556129032,4.121612903
"146",3.178965517,6.056896552,3.952413793,4.443793103,3.999655172,4.511034483,4.242222222
"147",3.154193548,5.608387097,3.538387097,4.204516129,4.124193548,4.288709677,4.276923077
"148",3.21,5.437333333,3.375333333,4.009333333,4.058333333,4.043333333,4.293333333
"149",3.287096774,4.554516129,2.513076923,3.505483871,4.025806452,3.515333333,4.421612903
"150",3.296333333,4.084827586,1.650333333,3.190666667,3.83952381,3.132666667,4.131333333
"151",3.0225,3.790344828,1.174444444,2.392258065,3.3775,1.889677419,3.816774194
"152",3.047096774,4.248064516,1.73483871,2.019354839,3.298571429,0.615483871,3.715483871
"153",2.89,4.506333333,2.214666667,3.142333333,3.32,1.503666667,3.742666667
"154",2.8496,4.256451613,1.601290323,2.928064516,3.35652777775,2.338709677,3.860967742
"155",2.8092,4.486,2.250666667,3.148333333,3.3930555555,2.891666667,4.018666667
"156",2.7688,4.708064516,3.078076923,3.567419355,3.42958333325,3.748709677,4.062258065
"157",2.7284,4.98137931,3.50375,4.160645161,3.466111111,4.14862069,3.879677419
"158",2.688,4.913214286,3.273157895,3.76,3.50263888875,4.224074074,3.882142857
"159",2.61516129,4.839677419,2.778518519,3.599677419,3.5391666665,3.792580645,3.88483871
"160",2.763666667,5.487666667,3.468,3.974333333,3.57569444425,3.997333333,3.996666667
"161",2.792580645,4.388064516,2.253571429,3.450645161,3.612222222,3.623225806,4.258064516
"162",2.839,3.994333333,1.808275862,3.214,3.804,3.288666667,4.456333333
"163",3.233,3.846129032,1.2,2.506129032,3.592352941,2.37483871,4.071290323
"164",3.586129032,3.95,1.596129032,2.981290323,3.5930247325,2.671935484,3.954193548
"165",3.281111111,4.896333333,2.321,3.074333333,3.593696524,1.700333333,3.959666667
"166",3.128666667,5.930967742,4.104193548,4.537741935,3.5943683155,4.584193548,4.087419355
"167",2.9969333336,4.686666667,2.886521739,3.462,3.595040107,3.719615385,4.188
"168",2.8652000002,4.852758621,3.479354839,3.909032258,3.5957118985,4.068709677,4.053333333
"169",2.7334666668,5.085357143,3.478064516,4.429677419,3.59638369,4.380645161,4.003913043
"170",2.6017333334,5.198148148,3.625357143,4.426428571,3.5970554815,4.2675,4.084285714
"171",2.47,5.094347826,3.290645161,3.800967742,3.597727273,3.973225806,4.104193548
"172",2.518421053,5.251666667,3.451,3.802,3.671,3.881333333,4.134
"173",2.714814815,4.432903226,2.504516129,3.300322581,3.704193548,3.419677419,4.19
"174",3.428,6.322666667,4.423333333,4.561,4.155333333,4.596666667,5.082333333
"175",3.769677419,4.427741935,2.311290323,3.04483871,3.869354839,3.42,4.321612903
"176",4.684193548,4.337419355,2.322258065,3.012258065,3.512333333,3.235806452,4.091935484
"177",3.630666667,4.297333333,2.509,3.223,3.837333333,3.560333333,4.550666667
"178",2.629354839,4.590967742,2.908387097,3.462258065,3.859354839,3.631935484,4.315806452
"179",2.664,4.504333333,2.797857143,3.457,3.926,3.497,4.304333333
"180",2.934347826,5.473,3.689642857,4.013225806,3.973548387,4.123548387,4.33
"181",3.749354839,6.59826087,4.355238095,4.471935484,3.886774194,4.696129032,4.291290323
"182",3.241428571,5.656428571,3.927083333,4.481785714,3.898928571,4.8025,4.372142857
"183",2.820645161,5.317741935,3.646451613,3.967,3.859354839,4.307741935,4.307741935
"184",2.847666667,5.404333333,3.793666667,4.14,4.032333333,4.141,4.475666667
"185",3.417419355,6.733793103,5.394642857,5.17,4.164193548,4.956451613,4.632903226
"186",4.207,7.970833333,6.56,6.669666667,4.888333333,6.854666667,5.2604
"187",4.021724138,5.323333333,3.198928571,4.219354839,4.195483871,4.546129032,4.477333333
"188",4.575483871,4.91483871,2.721333333,3.612258065,3.857096774,3.794516129,4.887741935
"189",3.796521739,5.080666667,2.934333333,3.675333333,3.789,3.803333333,4.471333333
"190",3.042580645,5.421290323,3.151612903,3.934516129,3.832580645,3.95483871,4.329677419
"191",3.023333333,5.64,3.507,4.172333333,4.050333333,4.247333333,4.400333333
"192",3.158064516,5.578,3.521612903,4.212,4.767741935,4.401290323,4.827741935
"193",3.666774194,5.742083333,3.658064516,5.225185185,4.621935484,5.309677419,4.634193548
"194",3.504827586,5.908275862,3.752857143,4.545,5.15862069,4.993448276,4.851034483
"195",3.259032258,5.581935484,3.021290323,4.360967742,4.819032258,4.293225806,4.619032258
"196",3.948571429,5.766551724,3.188333333,4.567666667,5.046,4.543666667,4.814827586
"197",4.814193548,6.837931034,4.343225806,5.476451613,5.979677419,5.572903226,5.66483871
"198",5.022666667,6.705666667,4.129666667,5.436,4.766,5.574333333,4.503
"199",4.895483871,5.018064516,2.107857143,3.927741935,4.015806452,3.915483871,4.179032258
"200",4.7,4.883225806,1.929677419,3.613870968,3.783548387,3.608064516,3.98137931
"201",3.901666667,5.283666667,2.649333333,3.996,3.757,4.033,4.092666667
"202",3.146785714,5.218387097,2.446071429,3.901935484,4.10516129,3.958387097,4.579032258
"203",3.256666667,5.344666667,2.885333333,4.1525,4.092,4.203666667,4.426956522
"204",3.880645161,5.124615385,3.486428571,4.719583333,4.040322581,4.560357143,4.347407407
"205",4.978709677,5.185714286,4.077586207,4.882631579,4.106896552,4.767419355,4.53
"206",3.49962963,5.436666667,3.148571429,4.520740741,4.1325,4.448214286,4.464074074
"207",3.168709677,5.543225806,3.361935484,4.414193548,4.100322581,4.333225806,4.4244
"208",3.195333333,5.129333333,2.920333333,4.145925926,4.147666667,4.104666667,4.702333333
"209",4.046774194,5.371612903,3.180967742,4.41516129,4.804516129,4.442258065,5.967741935
"210",4.158666667,5.151666667,2.920333333,4.236428571,4.531,4.146,4.603333333
"211",4.422258065,4.448709677,2.121290323,3.569354839,4.057741935,3.248709677,4.299354839
