"","Var1","Var2","Cor","Lag","Months"
"679","G65","HYT",0.184073018156149,-0.166666666666667,-2
"680","G65","GIT",0.17599985563555,0.75,9
"681","G65","GOT",0.173482343998257,0.75,9
"682","G65","NPT",0.187961830861366,0.75,9
"683","G65","DCT",0.168831957951116,0.75,9
"684","G65","Pu",0.497820382361173,-0.0833333333333333,-1
"685","RV","W60",0.215656924224846,0,0
"686","RV","W63",0.220926026560966,-0.0833333333333333,-1
"687","RV","W67",0.174488024151243,-0.0833333333333333,-1
"688","RV","W70",0.278258729573215,-0.0833333333333333,-1
"689","RV","W73",0.207562549244158,-0.0833333333333333,-1
"690","RV","W74",0.22588479806946,0,0
"691","RV","W78",0.191710188514525,-0.0833333333333333,-1
"692","RV","W80",0.224868567443402,0,0
"693","RV","W81",0.177181303841691,-0.0833333333333333,-1
"694","RV","W115",0.175849059999138,1,12
"695","RV","W116",0.239833200837061,-0.0833333333333333,-1
"696","RV","W118",0.184313001361451,0.833333333333333,10
"697","RV","G40",0.214552608726337,0,0
"698","RV","G42",0.237323331660708,0,0
"699","RV","G45",0.244524773236394,0,0
"700","RV","G49",0.204990062065631,0.333333333333333,4
"701","RV","G51",0.232393715242685,0,0
"702","RV","G53",0.186833023396324,1.33333333333333,16
"703","RV","G65",0.365418529035748,0,0
"704","RV","CDY",0.738109924014467,0,0
"705","RV","KY",0.789878505871386,0,0
"706","RV","HY",0.583646865904196,0,0
"707","RV","GI",0.738401594557217,0,0
"708","RV","GS",0.539103432403187,0,0
"709","RV","GO",0.590315676016653,0,0
"710","RV","NP",0.511708838455697,0,0
"711","RV","DC",0.415930595970625,0,0
"712","RV","RVT",0.218091283931314,0.916666666666667,11
"713","RV","CDYT",0.22228646927688,0.916666666666667,11
"714","RV","KYT",0.224787167282862,0.916666666666667,11
"715","RV","HYT",0.213503654505117,0.916666666666667,11
"716","RV","GIT",0.224601634622387,0.916666666666667,11
"717","RV","GOT",0.217761470782065,-0.0833333333333333,-1
"718","RV","NPT",0.208802944324002,-0.0833333333333333,-1
"719","RV","DCT",0.220016788751866,0.916666666666667,11
"720","RV","Pu",0.171730152960576,-0.75,-9
"721","CDY","W60",0.284952928638427,0,0
"722","CDY","W63",0.15326066998404,-0.0833333333333333,-1
"723","CDY","W67",0.148915178482599,-0.0833333333333333,-1
"724","CDY","W70",0.344777681806962,-0.0833333333333333,-1
"725","CDY","W73",0.241224454796126,-0.0833333333333333,-1
"726","CDY","W74",0.23331188849877,0,0
"727","CDY","W78",0.178230240086794,-0.0833333333333333,-1
"728","CDY","W80",0.248753424368316,0,0
"729","CDY","W81",0.178829948849205,0.333333333333333,4
"730","CDY","W115",0.143715839882291,-1,-12
"731","CDY","W116",0.266540954260867,-0.0833333333333333,-1
"732","CDY","W118",0.264575278472242,0.833333333333333,10
"733","CDY","G40",0.234014431910424,-0.166666666666667,-2
"734","CDY","G42",0.251018688292273,0,0
"735","CDY","G45",0.273051793213802,0,0
"736","CDY","G49",0.185913685099412,-0.666666666666667,-8
"737","CDY","G51",0.170669199853558,-0.0833333333333333,-1
"738","CDY","G53",0.198277733930449,-0.666666666666667,-8
