"","RV","CDY","KY","HY","GI","GS","GO","NP","DC"
"189",0,-1.69,-1.3,0.8,-2.05,-3.51,-0.93,0.08,-2.18
"190",1.62,2.42,2.28,-0.32,1.56,1.88,-0.04,-0.31,0.14
"191",-1.89,-2.59,-2.2,-0.79,-0.96,-0.56,-0.39,-0.28,0.8
"192",-0.87,0.18,-0.65,-0.1,-1.56,-1.49,-0.11,-0.14,-1.08
"193",0.81,0.02,0.58,0.79,1.54,-0.02,0.65,0.42,0.17
"194",-0.74,-0.59,-0.42,-0.58,-1.25,0.54,-0.66,-0.36,-0.1
"195",7.93,6.08,7.83,5.08,4.44,2.2,2.57,1.95,0.77
"196",-4.7,-0.98,-6.09,-2.67,1.79,5.15,-1.4,-0.66,1.17
"197",-2.65,-0.98,-1.69,-1.69,-6.79,-8.43,-0.15,-0.73,-1.7
"198",3.58,-1.75,2.77,1.21,4.05,1.89,-0.1,0.65,0.68
"199",-3.25,-0.42,-1.91,-1.19,-3.53,1.18,0.27,-0.82,0.14
"200",2.49,1.01,-0.27,0.83,1.96,0.91,-0.76,0.69,-0.01
"201",-3.24,-3.04,-1.08,-1.45,-2.41,-1.82,-0.15,-0.0900000000000001,-0.96
"202",0.84,1.04,1.44,0.02,1.25,-1.24,0.11,-0.91,0.21
"203",-0.95,-0.5,-0.66,0.25,-0.56,-0.25,-0.12,0.2,0.0700000000000001
"204",0.51,0.13,0,-0.07,0.26,0.36,0.03,-0.1,-0.2
"205",-0.66,-0.49,-0.6,-0.46,-0.82,-0.83,-0.1,-0.17,-0.13
"206",1.73,0.69,1.33,2.24,0.56,0.88,0.8,0.72,0.2
"207",-0.36,0.02,0.24,-0.72,1.83,0.56,0.21,0.08,1.49
"208",3.36,0.02,4.16,2.69,2.64,2.23,-0.39,-0.08,-0.7
"209",-3.15,0.02,-4.1,-4.11,-3.18,-1.23,0.5,-0.74,0.34
"210",0.5,0.705,1.73,4.76,0.95,-0.62,-0.83,2,-0.56
"211",4.63,0.705,-0.0100000000000002,-1.03,3.14,4.79,3.01,-0.11,4.81
"212",-3.48,0.39,-1.46,0.49,-3.51,-4.56,-1.93,1.19,-4.73
"213",-0.7,-1.255,0.64,-3.05,2.68,1.95,0.3,-2.17,0.2
"214",-2.56,-1.255,-2.49,-1.23,-4.85,-3.88,-1.84,-0.97,-1.03
"215",0.13,0.02,-0.13,0.06,-0.06,-0.07,0.13,0.16,-0.22
"216",0.36,0.06,0.75,0.67,0.63,0.2,0.49,0.14,0.2
"217",-0.16,0.335,-0.23,-0.47,-0.33,-0.34,-0.53,-0.25,-0.26
