"","W78","G49","GI_P","GI_T","Pumping"
"193",1901.787097,5.225185185,0.32,27,NA
"194",1901.86,4.545,1.86,35.3,NA
"195",1902.006452,4.360967742,0.61,45.8,NA
"196",1902.153333,4.567666667,5.05,52.4,NA
"197",1902.829032,5.476451613,6.84,60.2,NA
"198",1903.780645,5.436,0.05,76.4,NA
"199",1903.370968,3.927741935,4.1,76,NA
"200",1902.703226,3.613870968,0.57,73.5,NA
"201",1902.096667,3.996,2.53,66.9,NA
"202",1902.00625,3.901935484,0.12,56.7,NA
"203",1902.073333,4.1525,1.37,45,NA
"204",1902.164516,4.719583333,0.81,25.9,NA
"205",1902.254839,4.882631579,1.07,26.3,NA
"206",1902.351724,4.520740741,0.25,37.8,NA
"207",1902.390323,4.414193548,0.81,42.2,NA
"208",1902.47,4.145925926,2.64,51.1,NA
"209",1902.577419,4.41516129,5.28,60.3,NA
"210",1902.919355,4.236428571,2.1,74.4,NA
"211",1902.606452,3.569354839,3.05,77.8,NA
"212",1902.66129,3.879,6.19,70.1,NA
"213",1902.94,3.631333333,2.68,67.8,NA
"214",1903.071875,3.852903226,5.36,52.7,NA
"215",1903.226667,3.762,0.51,41.1,NA
"216",1903.380645,3.89173913,0.45,26.6,NA
"217",1903.53125,5.283333333,1.08,23.7,NA
"218",1903.635714,5.2175,0.75,23.1,NA
"219",1903.76129,4.313870968,1.26,40.3,NA
"220",1903.836667,4.255,1.26,43.1,NA
"221",1903.932258,4.197096774,3.98,67,NA
"222",1904.025806,3.943666667,4.61,76.5,NA
"223",1903.677419,3.745,3.58,75.2,NA
"224",1903.119355,3.604193548,2.67,73.4,NA
"225",1902.973333,3.941333333,2.49,67.4,NA
"226",1903.0625,3.836774194,2.88,49.7,NA
"227",1903.173333,4.170344828,1.69,35,NA
"228",1903.323333,4.243103448,3.44,29.9,NA
