"","W74","G42","GO_P","GO_T","Pumping"
"214",2476.651875,4.585483871,1.95,65.9,NA
"215",2476.623667,4.605,0.11,53.9,NA
"216",2476.309355,4.744230769,0.24,38.5,NA
"217",2477.009375,6.012758621,0.73,36,NA
"218",2477.346786,7.5185,0.2,45.2,NA
"219",2477.386452,5.065333333,0.15,54.4,NA
"220",2477.273667,5.256333333,0.55,58.1,NA
"221",2477.200645,5.067741935,1.6,77.5,NA
"222",2476.408387,4.717,1.38,86.3,NA
"223",2476.730968,4.408709677,1.62,84.6,NA
"224",2476.764839,4.156451613,0.51,76.7666666666667,NA
"225",2475.976667,4.686666667,1.48,68.9333333333333,NA
"226",2476.758125,4.424516129,0.92,61.1,NA
"227",2476.944,4.97,0.27,47.9,NA
"228",2477.229333,4.928709677,1.05,39.3,NA
