"","W116","G53","GI_P","GI_T","Pumping"
"45",1663.538667,0.661666667,2.47,62.4,1376098058
"46",1664.202188,0.564516129,0.64,55.9,7670134.333
"47",1664.395333,0.56,0.34,37.4,5626179.958
"48",1664.486129,3.151935484,0.17,31.5,5371790.167
"49",1664.523125,3.771935484,0.6,21.9,5314375.667
"50",1664.59069,4.405172414,1.72,24,4808245.375
"51",1665.252903,3.723225806,1.77,44.5,5632804.708
"52",1665.794194,3.329,1.04,52.9,79183434.58
"53",1666.044516,3.019032258,2.23,63.5,82419402.92
"54",1666.215333,2.505666667,1.2,68.1,51058268.33
"55",1666.097813,2.714193548,4.7,72.2,439520833.3
"56",1665.300323,1.737096774,0.81,70.5,2715407767
"57",1665.0751615,0.696,3.67,69.4,2052496288
"58",1664.85,0.512903226,1.08,53.3,7689567.542
"59",1665.022188,3.053666667,2,40,5639870.5
"60",1665.441515,3.676774194,0.07,31.1,5385039.667
"61",1665.65697,4.029032258,0.76,21.5,5323649.708
"62",1665.776,3.8475,0.86,34.5,4816193.25
"63",1666.046364,3.652258065,1.54,40.9,5640311.542
"64",1666.624688,3.731,1.76,51.8,13727364.08
"65",1667.993333,3.873548387,8.51,61.1,94940606.25
"66",1668.848125,3.888,4.11,72.7,135445660
"67",1668.112308,2.797096774,2.51,77.3,2927656788
"68",1665.6092,1.580967742,3.77,73.8,2582126496
"69",1665.825625,1.68,1.1,69.7,337217112.5
"70",1665.948182,1.640645161,2.49,55,7708559.708
"71",1665.941563,2.906666667,0.99,41.9,5654446.167
"72",1665.962083,3.632580645,0.47,26.4,5396080.917
"73",1666.058485,3.462580645,0.18,38.4,5328066.208
"74",1666.055333,3.3788,0.07,30.6,4822376.958
"75",1666.197273,3.537419355,3.26,37.9,5797982.417
"76",1667.755806,3.575333333,2.41,55.9,21045504.58
"77",1667.9475,2.996451613,1.16,64.6,213995758.8
"78",1667.817586,2.714666667,4.07,74.8,317939941.7
"79",1666.5425,2.307096774,1.49,79.5,3572248917
"80",1665.312778,1.201935484,3.44,74.6,1006591829
"81",1665.517097,2.057333333,4.75,62,63229710.42
"82",1666.2275,2.996129032,1.17,49.6,8359993.458
"83",1666.24871,3.230666667,0.21,38.6,5888520.667
"84",1666.266875,3.440645161,1.76,32.4,5404469.833
"85",1666.860938,3.601935484,0.62,23.3,7145011.875
"86",1666.998621,4.208928571,0.56,24.3,6424240.292
"87",1667.168125,4.020967742,2.2,47.2,7554864.292
"88",1667.79,4.125,4.62,49.6,8568010
"89",1669.050938,4.123225806,7.13,64.8,32222352.08
"90",1670.321786,4.455666667,2.87,71.5,293422982.9
"91",1669.012069,3.768387097,8.99,77.7,2793811288
"92",1668.069688,3.972580645,4.49,77.7,831262254.2
"93",1667.961613,3.340666667,1.92,66.5,120711340
"94",1668.559,3.663225806,3.91,56.1,10334610
"95",1669.02129,3.664666667,2.645,41.2,7679411.417
"96",1668.870938,4.191612903,1.38,23,7188738.875
"97",1668.831212,4.30516129,0.34,20.9,7151195.583
"98",1668.717333,4.532068966,0.29,27.7,6428215.75
"99",1668.900938,3.959032258,0.71,39.1,7560162.875
"100",1669.414516,4.02,3.42,47,9722483.708
"101",1670.354688,4.527096774,9.04,59.3,61378308.75
"102",1671.010769,5.051666667,9.85,71.2,94044075
"103",1670.257188,3.787741935,2.63,77.4,2165691608
"104",1669.587813,3.372903226,1.07,73.5,2800777921
"105",1668.583438,3.062,1.51,65,704353579.2
"106",1668.965938,3.732258065,5.99,52.2,75101700.42
"107",1669.969355,4.049,1.52,39,7686036.167
"108",1669.605625,3.94,0.68,22.2,7196686.75
"109",1669.270625,4.306774194,0.3,26.5,7156497.208
"110",1669.241379,4.091153846,0.88,31,6434840.5
"111",1669.290938,3.820322581,0.14,38.5,7567672.75
"112",1669.28375,3.903666667,2.56,49.2,28048750.46
"113",1669.454375,3.626451613,2.05,62.4,90339507.5
"114",1670.06871,4.009,8.27,69.5,97948692.92
"115",1669.137188,3.603225806,2.7,72.5,1794033096
"116",1667.589688,3.183870968,2.4,71.4,694313950
"117",1666.735806,3.211333333,0.96,63.5,1719246725
"118",1666.783939,3.747096774,3.39,44.6,81963183.33
"119",1667.421613,4.121333333,0.17,43.7,7693101.958
"120",1667.498438,4.438709677,1.76,18.3,7203311.5
"121",1667.54125,5.136896552,0.54,20,7164889.167
"122",1667.720345,4.9225,0.66,23.8,6438371.875
"123",1668.510625,4.662903226,2.53,41.8,7574297.5
"124",1668.974516,4.033,1.94,54.4,35842117.92
"125",1669.178438,4.268387097,4.24,59.1,62342882.08
"126",1669.922581,5.414,8.77,72.8,127500826.7
"127",1669.954063,4.592903226,4.1,76.1,485411370.8
"128",1668.775625,3.975806452,3.87,76.7,3064518708
"129",1668.073871,3.996666667,1.66,65.8,366319170.8
"130",1667.8425,4.156774194,0.3,55.6,15625135.96
"131",1667.658065,4.232333333,0.44,37.9,7698841.583
"132",1667.471563,4.817096774,0.24,25.6,7210377.292
"133",1667.38,4.978387097,1.49,18.6,7418393.833
"134",1667.368667,5.425,0.28,27.4,6696296.083
"135",1667.465161,4.877419355,1.02,38.1,7864460.333
"136",1667.738636,4.822333333,2.93,49.8,30587790.83
"137",1668.92,5.042258065,8.7,59.8,39384138.75
"138",1669.3477275,5.889,1.72,71.8,50718210
"139",1669.775455,5.599677419,4.37,79.4,813094987.5
"140",1669.369063,4.916451613,2.3,74.7,1729015950
"141",1668.750968,4.854,0.83,61,586203383.3
"142",1668.369688,4.801935484,2.2,54.9,15210426
"143",1668.175,4.447333333,0.21,39.6,8074244.083
"144",1668.075484,4.42516129,1.11,29.5,7496126.667
"145",1668.045313,4.556129032,0.16,32.2,7425903.708
"146",1668.06931,4.511034483,1.05,30.1,6700712.583
"147",1668.448387,4.288709677,0.83,54.1,25205850.63
"148",1668.523548,4.043333333,1.41,56.2,50786647.5
"149",1668.545806,3.515333333,2.29,66.7,79245697.5
"150",1668.485263,3.132666667,1.27,75.7,636354991.7
"151",1665.505,1.889677419,0.16,82.4,6151971583
"152",1663.774194,0.615483871,0.94,74.8,4176223542
"153",1662.666667,1.503666667,0.47,66.5,98217667.5
"154",1663.0625,2.338709677,0.78,50.3,10858406.29
"155",1663.361667,2.891666667,0.53,42.1,8080868.833
"156",1663.530323,3.748709677,1.66,28.5,7504515.583
"157",1663.611538,4.14862069,0.16,26.4,NA
"158",1663.69,4.224074074,0.97,30.7,NA
"159",1663.793226,3.792580645,1.64,36.1,NA
"160",1664.541613,3.997333333,3.83,46.1,NA
"161",1665.929032,3.623225806,6.77,61.5,NA
"162",1667.137742,3.288666667,1.63,72.6,NA
"163",1665.778387,2.37483871,1.39,76.3,NA
"164",1664.422903,2.671935484,3.02,75.9,NA
"165",1663.592,1.700333333,2.38,70.2,NA
"166",1664.385313,4.584193548,4.05,52.2,NA
"167",1665.161667,3.719615385,0.97,38.1,NA
"168",1665.39871,4.068709677,0.11,24.9,NA
"169",1665.43625,4.380645161,0.32,25.6,NA
"170",1665.463214,4.2675,0.33,23.4,NA
"171",1665.487097,3.973225806,0.19,37.2,NA
"172",1665.566452,3.881333333,2.91,51.6,NA
"173",1666.037742,3.419677419,0.74,62.9,NA
"174",1666.896667,4.596666667,9.65,72.7,NA
"175",1666.619063,3.42,2.19,73.4,NA
"176",1665.051613,3.235806452,5.87,74.1,NA
"177",1665.738667,3.560333333,3.03,64.6,NA
"178",1666.140625,3.631935484,1.28,54.9,NA
"179",1666.303333,3.497,0.29,34.2,NA
"180",1666.384516,4.123548387,0.76,29.1,NA
"181",1666.451613,4.696129032,0.47,27.6,NA
"182",1666.635517,4.8025,0.7,23.8,NA
"183",1666.857742,4.307741935,0.16,43.8,NA
"184",1667.015667,4.141,2.14,52.3,NA
"185",1667.590323,4.956451613,3.69,59.1,NA
"186",1668.560968,6.854666667,5.67,71.5,NA
"187",1668.115161,4.546129032,2.58,75.6,NA
"188",1667.422903,3.794516129,1.24,72.3,NA
"189",1666.726667,3.803333333,3.33,70.7,NA
"190",1667.283438,3.95483871,1.28,56.6,NA
"191",1667.5,4.247333333,2.84,43,NA
"192",1668.271613,4.401290323,1.88,32.2,NA
"193",1668.605161,5.309677419,0.32,27,NA
"194",1668.947667,4.993448276,1.86,35.3,NA
"195",1669.18871,4.293225806,0.61,45.8,NA
"196",1669.288667,4.543666667,5.05,52.4,NA
"197",1670.549355,5.572903226,6.84,60.2,NA
"198",1669.895806,5.574333333,0.05,76.4,NA
"199",1668.46129,3.915483871,4.1,76,NA
"200",1666.33129,3.608064516,0.57,73.5,NA
"201",1665.470968,4.033,2.53,66.9,NA
"202",1665.855,3.958387097,0.12,56.7,NA
"203",1665.880667,4.203666667,1.37,45,NA
"204",1665.850968,4.560357143,0.81,25.9,NA
"205",1665.915161,4.767419355,1.07,26.3,NA
"206",1666.052759,4.448214286,0.25,37.8,NA
"207",1666.166774,4.333225806,0.81,42.2,NA
"208",1666.283667,4.104666667,2.64,51.1,NA
"209",1667.689032,4.442258065,5.28,60.3,NA
"210",1668.292581,4.146,2.1,74.4,NA
"211",1667.098065,3.248709677,3.05,77.8,NA
"212",1665.984194,3.722903226,6.19,70.1,NA
"213",1666.284333,3.351666667,2.68,67.8,NA
"214",1667.9925,3.816451613,5.36,52.7,NA
"215",1668.150667,3.637333333,0.51,41.1,NA
"216",1668.015484,3.887,0.45,26.6,NA
"217",1667.890625,4.809230769,1.08,23.7,NA
"218",1667.854643,5.041428571,0.75,23.1,NA
"219",1668.070645,4.379032258,1.26,40.3,NA
"220",1668.25,4.194666667,1.26,43.1,NA
"221",1668.594194,4.205806452,3.98,67,NA
"222",1668.827097,3.981333333,4.61,76.5,NA
"223",1668.56129,3.731290323,3.58,75.2,NA
"224",1667.862258,3.582903226,2.67,73.4,NA
"225",1668.456,3.936333333,2.49,67.4,NA
"226",1668.960625,3.866774194,2.88,49.7,NA
"227",1669.157,4.177,1.69,35,NA
"228",1669.961,4.327333333,3.44,29.9,NA
