"","W115","G53","GI_P","GI_T","Pumping"
"39",1757.749677,3.931290323,0.57,41.3,5618670.083
"40",1757.765806,3.731333333,3.36,51.9,95889271.67
"41",1758.275484,3.919032258,4.06,58.7,20973958.5
"42",1759.384839,3.524,3.57,68.4,147004084.6
"43",1758.29,2.738064516,0.22,77.9,1868570354
"44",1761.193548,1.170967742,1.01,76.7,3658781292
"45",1760.783667,0.661666667,2.47,62.4,1376098058
"46",1757.974,0.564516129,0.64,55.9,7670134.333
"47",1756.622,0.56,0.34,37.4,5626179.958
"48",1756.313871,3.151935484,0.17,31.5,5371790.167
"49",1756.24375,3.771935484,0.6,21.9,5314375.667
"50",1756.244828,4.405172414,1.72,24,4808245.375
"51",1756.2485,3.723225806,1.77,44.5,5632804.708
"52",1756.355833,3.329,1.04,52.9,79183434.58
"53",1756.396774,3.019032258,2.23,63.5,82419402.92
"54",1756.002667,2.505666667,1.2,68.1,51058268.33
"55",1755.285714,2.714193548,4.7,72.2,439520833.3
"56",1754.515556,1.737096774,0.81,70.5,2715407767
"57",1755.45,0.696,3.67,69.4,2052496288
"58",1755.505455,0.512903226,1.08,53.3,7689567.542
"59",1755.210625,3.053666667,2,40,5639870.5
"60",1755.215455,3.676774194,0.07,31.1,5385039.667
"61",1755.303939,4.029032258,0.76,21.5,5323649.708
"62",1755.441333,3.8475,0.86,34.5,4816193.25
"63",1755.549697,3.652258065,1.54,40.9,5640311.542
"64",1755.68625,3.731,1.76,51.8,13727364.08
"65",1760.568182,3.873548387,8.51,61.1,94940606.25
"66",1763.114688,3.888,4.11,72.7,135445660
"67",1762.100303,2.797096774,2.51,77.3,2927656788
"68",1761.302857,1.580967742,3.77,73.8,2582126496
"69",1760.837188,1.68,1.1,69.7,337217112.5
"70",1758.811515,1.640645161,2.49,55,7708559.708
"71",1758.055,2.906666667,0.99,41.9,5654446.167
"72",1757.843333,3.632580645,0.47,26.4,5396080.917
"73",1757.750909,3.462580645,0.18,38.4,5328066.208
"74",1757.672667,3.3788,0.07,30.6,4822376.958
"75",1757.633636,3.537419355,3.26,37.9,5797982.417
"76",1757.812903,3.575333333,2.41,55.9,21045504.58
"77",1758.020313,2.996451613,1.16,64.6,213995758.8
"78",1757.632581,2.714666667,4.07,74.8,317939941.7
"79",1755.545313,2.307096774,1.49,79.5,3572248917
"80",1754.6425,1.201935484,3.44,74.6,1006591829
"81",1755.37129,2.057333333,4.75,62,63229710.42
"82",1756.090625,2.996129032,1.17,49.6,8359993.458
"83",1756.280968,3.230666667,0.21,38.6,5888520.667
"84",1756.351875,3.440645161,1.76,32.4,5404469.833
"85",1756.41375,3.601935484,0.62,23.3,7145011.875
"86",1756.537931,4.208928571,0.56,24.3,6424240.292
"87",1757.023125,4.020967742,2.2,47.2,7554864.292
"88",1757.514194,4.125,4.62,49.6,8568010
"89",1759.375,4.123225806,7.13,64.8,32222352.08
"90",1762.280968,4.455666667,2.87,71.5,293422982.9
"91",1762.36875,3.768387097,8.99,77.7,2793811288
"92",1762.156875,3.972580645,4.49,77.7,831262254.2
"93",1761.926774,3.340666667,1.92,66.5,120711340
"94",1761.86875,3.663225806,3.91,56.1,10334610
"95",1761.897742,3.664666667,2.645,41.2,7679411.417
"96",1761.857813,4.191612903,1.38,23,7188738.875
"97",1761.833125,4.30516129,0.34,20.9,7151195.583
"98",1761.922,4.532068966,0.29,27.7,6428215.75
"99",1762.264688,3.959032258,0.71,39.1,7560162.875
"100",1762.536774,4.02,3.42,47,9722483.708
"101",1763.107188,4.527096774,9.04,59.3,61378308.75
"102",1768.17,5.051666667,9.85,71.2,94044075
"103",1766.294688,3.787741935,2.63,77.4,2165691608
"104",1765.062813,3.372903226,1.07,73.5,2800777921
"105",1764.430323,3.062,1.51,65,704353579.2
"106",1764.50375,3.732258065,5.99,52.2,75101700.42
"107",1765.162903,4.049,1.52,39,7686036.167
"108",1765.125625,3.94,0.68,22.2,7196686.75
"109",1765.095313,4.306774194,0.3,26.5,7156497.208
"110",1765.204828,4.091153846,0.88,31,6434840.5
"111",1765.144063,3.820322581,0.14,38.5,7567672.75
"112",1765.182581,3.903666667,2.56,49.2,28048750.46
"113",1765.290313,3.626451613,2.05,62.4,90339507.5
"114",1765.922258,4.009,8.27,69.5,97948692.92
"115",1766.068125,3.603225806,2.7,72.5,1794033096
"116",1765.574688,3.183870968,2.4,71.4,694313950
"117",1764.518387,3.211333333,0.96,63.5,1719246725
"118",1764.091563,3.747096774,3.39,44.6,81963183.33
"119",1763.952258,4.121333333,0.17,43.7,7693101.958
"120",1763.818125,4.438709677,1.76,18.3,7203311.5
"121",1763.748125,5.136896552,0.54,20,7164889.167
"122",1763.766207,4.9225,0.66,23.8,6438371.875
"123",1764.76375,4.662903226,2.53,41.8,7574297.5
"124",1765.11,4.033,1.94,54.4,35842117.92
"125",1765.016563,4.268387097,4.24,59.1,62342882.08
"126",1765.843548,5.414,8.77,72.8,127500826.7
"127",1766.253438,4.592903226,4.1,76.1,485411370.8
"128",1765.48125,3.975806452,3.87,76.7,3064518708
"129",1764.823214,3.996666667,1.66,65.8,366319170.8
"130",1764.413125,4.156774194,0.3,55.6,15625135.96
"131",1764.192258,4.232333333,0.44,37.9,7698841.583
"132",1764.067813,4.817096774,0.24,25.6,7210377.292
"133",1764.000625,4.978387097,1.49,18.6,7418393.833
"134",1764.022069,5.425,0.28,27.4,6696296.083
"135",1763.999677,4.877419355,1.02,38.1,7864460.333
"136",1764.161613,4.822333333,2.93,49.8,30587790.83
"137",1764.573438,5.042258065,8.7,59.8,39384138.75
"138",1765.132667,5.889,1.72,71.8,50718210
"139",1764.910313,5.599677419,4.37,79.4,813094987.5
"140",1764.827188,4.916451613,2.3,74.7,1729015950
"141",1764.463548,4.854,0.83,61,586203383.3
"142",1764.262105,4.801935484,2.2,54.9,15210426
"143",1764.22473666667,4.447333333,0.21,39.6,8074244.083
"144",1764.18736833333,4.42516129,1.11,29.5,7496126.667
"145",1764.15,4.556129032,0.16,32.2,7425903.708
"146",1764.165977,4.511034483,1.05,30.1,6700712.583
"147",1764.181954,4.288709677,0.83,54.1,25205850.63
"148",1764.197931,4.043333333,1.41,56.2,50786647.5
"149",1764.076452,3.515333333,2.29,66.7,79245697.5
"150",1763.933667,3.132666667,1.27,75.7,636354991.7
"151",1763.090938,1.889677419,0.16,82.4,6151971583
"152",1761.606774,0.615483871,0.94,74.8,4176223542
"153",1758.724,1.503666667,0.47,66.5,98217667.5
"154",1758.06125,2.338709677,0.78,50.3,10858406.29
"155",1757.920667,2.891666667,0.53,42.1,8080868.833
"156",1757.840645,3.748709677,1.66,28.5,7504515.583
"157",1757.767813,4.14862069,0.16,26.4,NA
"158",1757.718929,4.224074074,0.97,30.7,NA
"159",1757.717188,3.792580645,1.64,36.1,NA
"160",1757.765161,3.997333333,3.83,46.1,NA
"161",1758.366129,3.623225806,6.77,61.5,NA
"162",1761.450323,3.288666667,1.63,72.6,NA
"163",1759.481613,2.37483871,1.39,76.3,NA
"164",1758.083226,2.671935484,3.02,75.9,NA
"165",1757.544,1.700333333,2.38,70.2,NA
"166",1758.195938,4.584193548,4.05,52.2,NA
"167",1758.587419,3.719615385,0.97,38.1,NA
"168",1758.72871,4.068709677,0.11,24.9,NA
"169",1758.784375,4.380645161,0.32,25.6,NA
"170",1758.821429,4.2675,0.33,23.4,NA
"171",1758.819677,3.973225806,0.19,37.2,NA
"172",1758.920968,3.881333333,2.91,51.6,NA
"173",1759.055806,3.419677419,0.74,62.9,NA
"174",1760.308333,4.596666667,9.65,72.7,NA
"175",1761.105625,3.42,2.19,73.4,NA
"176",1759.202903,3.235806452,5.87,74.1,NA
"177",1760.863333,3.560333333,3.03,64.6,NA
"178",1761.050938,3.631935484,1.28,54.9,NA
"179",1760.938333,3.497,0.29,34.2,NA
"180",1760.790645,4.123548387,0.76,29.1,NA
"181",1760.673871,4.696129032,0.47,27.6,NA
"182",1760.684138,4.8025,0.7,23.8,NA
"183",1760.814194,4.307741935,0.16,43.8,NA
"184",1760.982667,4.141,2.14,52.3,NA
"185",1761.116452,4.956451613,3.69,59.1,NA
"186",1761.479355,6.854666667,5.67,71.5,NA
"187",1760.776129,4.546129032,2.58,75.6,NA
"188",1759.79,3.794516129,1.24,72.3,NA
"189",1759.049333,3.803333333,3.33,70.7,NA
"190",1759.244063,3.95483871,1.28,56.6,NA
"191",1759.313667,4.247333333,2.84,43,NA
"192",1759.900645,4.401290323,1.88,32.2,NA
"193",1760.515161,5.309677419,0.32,27,NA
"194",1760.875667,4.993448276,1.86,35.3,NA
"195",1761.716452,4.293225806,0.61,45.8,NA
"196",1761.789,4.543666667,5.05,52.4,NA
"197",1763.104839,5.572903226,6.84,60.2,NA
"198",1763.635161,5.574333333,0.05,76.4,NA
"199",1763.340323,3.915483871,4.1,76,NA
"200",1762.493871,3.608064516,0.57,73.5,NA
"201",1761.753548,4.033,2.53,66.9,NA
"202",1761.50625,3.958387097,0.12,56.7,NA
"203",1761.128667,4.203666667,1.37,45,NA
"204",1760.628387,4.560357143,0.81,25.9,NA
"205",1760.512903,4.767419355,1.07,26.3,NA
"206",1760.68,4.448214286,0.25,37.8,NA
"207",1760.435806,4.333225806,0.81,42.2,NA
"208",1760.375333,4.104666667,2.64,51.1,NA
"209",1760.813548,4.442258065,5.28,60.3,NA
"210",1761.660968,4.146,2.1,74.4,NA
"211",1760.535484,3.248709677,3.05,77.8,NA
"212",1759.510968,3.722903226,6.19,70.1,NA
"213",1759.776333,3.351666667,2.68,67.8,NA
"214",1761.905625,3.816451613,5.36,52.7,NA
"215",1762.118333,3.637333333,0.51,41.1,NA
"216",1762.045806,3.887,0.45,26.6,NA
"217",1761.9725,4.809230769,1.08,23.7,NA
"218",1761.898929,5.041428571,0.75,23.1,NA
"219",1762.01871,4.379032258,1.26,40.3,NA
"220",1761.971,4.194666667,1.26,43.1,NA
"221",1762.062581,4.205806452,3.98,67,NA
"222",1762.167097,3.981333333,4.61,76.5,NA
"223",1761.952903,3.731290323,3.58,75.2,NA
"224",1761.27129,3.582903226,2.67,73.4,NA
"225",1761.288333,3.936333333,2.49,67.4,NA
"226",1761.410313,3.866774194,2.88,49.7,NA
"227",1761.507333,4.177,1.69,35,NA
"228",1761.987333,4.327333333,3.44,29.9,NA
