"","W81","G49","GI_P","GI_T","Pumping"
"44",1916.032258,1.692222222,1.01,76.7,3658781292
"45",1915,1.54,2.47,62.4,1376098058
"46",1915.34375,2.4560714285,0.64,55.9,7670134.333
"47",1916,3.372142857,0.34,37.4,5626179.958
"48",1916,3.691935484,0.17,31.5,5371790.167
"49",1916.53125,3.69,0.6,21.9,5314375.667
"50",1917,4.579130435,1.72,24,4808245.375
"51",1917,3.650967742,1.77,44.5,5632804.708
"52",1917,3.278,1.04,52.9,79183434.58
"53",1917,3.10516129,2.23,63.5,82419402.92
"54",1916.966667,2.633181818,1.2,68.1,51058268.33
"55",1915.84375,2.861935484,4.7,72.2,439520833.3
"56",1914.032258,2.27,0.81,70.5,2715407767
"57",1913,2.417419355,3.67,69.4,2052496288
"58",1913.727273,2.56483871,1.08,53.3,7689567.542
"59",1914,3.459,2,40,5639870.5
"60",1914.909091,3.695172414,0.07,31.1,5385039.667
"61",1915,4.167931034,0.76,21.5,5323649.708
"62",1915,3.891785714,0.86,34.5,4816193.25
"63",1915.818182,3.61483871,1.54,40.9,5640311.542
"64",1916,3.642666667,1.76,51.8,13727364.08
"65",1916,3.64516129,8.51,61.1,94940606.25
"66",1916.970588,3.885333333,4.11,72.7,135445660
"67",1915.666667,2.747096774,2.51,77.3,2927656788
"68",1914.030303,2.329677419,3.77,73.8,2582126496
"69",1914.0625,2.748666667,1.1,69.7,337217112.5
"70",1915,2.931612903,2.49,55,7708559.708
"71",1915,3.282666667,0.99,41.9,5654446.167
"72",1915.969697,3.773448276,0.47,26.4,5396080.917
"73",1916,3.429677419,0.18,38.4,5328066.208
"74",1916,3.3875,0.07,30.6,4822376.958
"75",1916,3.518064516,3.26,37.9,5797982.417
"76",1916.483871,3.452333333,2.41,55.9,21045504.58
"77",1917,2.834516129,1.16,64.6,213995758.8
"78",1916.709677,2.621666667,4.07,74.8,317939941.7
"79",1915,2.047741935,1.49,79.5,3572248917
"80",1914,2.427419355,3.44,74.6,1006591829
"81",1914.354839,2.875,4.75,62,63229710.42
"82",1915,3.278387097,1.17,49.6,8359993.458
"83",1915,3.451,0.21,38.6,5888520.667
"84",1915.3125,3.691071429,1.76,32.4,5404469.833
"85",1916,3.84,0.62,23.3,7145011.875
"86",1916,4.645,0.56,24.3,6424240.292
"87",1916,3.978709677,2.2,47.2,7554864.292
"88",1916,4.098333333,4.62,49.6,8568010
"89",1916.84375,3.842258065,7.13,64.8,32222352.08
"90",1917,4.136363636,2.87,71.5,293422982.9
"91",1916.6875,3.517741935,8.99,77.7,2793811288
"92",1916.90625,3.656774194,4.49,77.7,831262254.2
"93",1917.419355,2.948,1.92,66.5,120711340
"94",1918,3.2452,3.91,56.1,10334610
"95",1918.483871,3.299,2.645,41.2,7679411.417
"96",1919,4.281935484,1.38,23,7188738.875
"97",1919,4.288064516,0.34,20.9,7151195.583
"98",1919.7,4.566551724,0.29,27.7,6428215.75
"99",1920,3.589032258,0.71,39.1,7560162.875
"100",1920,3.714333333,3.42,47,9722483.708
"101",1920,4.245483871,9.04,59.3,61378308.75
"102",1924,4.316666667,9.85,71.2,94044075
"103",1921.705882,3.421,2.63,77.4,2165691608
"104",1919.875,3.121935484,1.07,73.5,2800777921
"105",1919.451613,2.720666667,1.51,65,704353579.2
"106",1920.21875,3.683461538,5.99,52.2,75101700.42
"107",1921.387097,3.724,1.52,39,7686036.167
"108",1922.0625,3.466774194,0.68,22.2,7196686.75
"109",1922.65625,4.143225806,0.3,26.5,7156497.208
"110",1923,3.788928571,0.88,31,6434840.5
"111",1923.129032,3.45,0.14,38.5,7567672.75
"112",1923.741935,3.738333333,2.56,49.2,28048750.46
"113",1924,3.35862069,2.05,62.4,90339507.5
"114",1924.833333,3.643666667,8.27,69.5,97948692.92
"115",1923.84375,3.298709677,2.7,72.5,1794033096
"116",1922,3.002903226,2.4,71.4,694313950
"117",1922.193548,3.187,0.96,63.5,1719246725
"118",1923,3.71516129,3.39,44.6,81963183.33
"119",1923.548387,4.116,0.17,43.7,7693101.958
"120",1924,4.33516129,1.76,18.3,7203311.5
"121",1924.34375,5.246774194,0.54,20,7164889.167
"122",1925,5.039285714,0.66,23.8,6438371.875
"123",1925.59375,4.514193548,2.53,41.8,7574297.5
"124",1926.129032,3.838666667,1.94,54.4,35842117.92
"125",1926.65625,4.218064516,4.24,59.1,62342882.08
"126",1927.130435,5.313333333,8.77,72.8,127500826.7
"127",1928.769231,4.413809524,4.1,76.1,485411370.8
"128",1924.625,3.855483871,3.87,76.7,3064518708
"129",1925.225806,3.999,1.66,65.8,366319170.8
"130",1926,4.113548387,0.3,55.6,15625135.96
"131",1926.032258,4.173793103,0.44,37.9,7698841.583
"132",1926.46875,4.699666667,0.24,25.6,7210377.292
"133",1927,5.377741935,1.49,18.6,7418393.833
"134",1927,5.269615385,0.28,27.4,6696296.083
"135",1927.516129,4.620322581,1.02,38.1,7864460.333
"136",1928,4.895,2.93,49.8,30587790.83
"137",1927.9375,5.01516129,8.7,59.8,39384138.75
"138",1928.903226,5.817666667,1.72,71.8,50718210
"139",1927.185185,5.342580645,4.37,79.4,813094987.5
"140",1922.15625,4.766451613,2.3,74.7,1729015950
"141",1922.34375,4.842666667,0.83,61,586203383.3
"142",1923,4.717419355,2.2,54.9,15210426
"143",1923.4,4.346333333,0.21,39.6,8074244.083
"144",1923.870968,4.345806452,1.11,29.5,7496126.667
"145",1923.96875,4.539354839,0.16,32.2,7425903.708
"146",1924.068966,4.443793103,1.05,30.1,6700712.583
"147",1924.709677,4.204516129,0.83,54.1,25205850.63
"148",1925,4.009333333,1.41,56.2,50786647.5
"149",1925,3.505483871,2.29,66.7,79245697.5
"150",1922.966667,3.190666667,1.27,75.7,636354991.7
"151",1919.8125,2.392258065,0.16,82.4,6151971583
"152",1918.290323,2.019354839,0.94,74.8,4176223542
"153",1918,3.142333333,0.47,66.5,98217667.5
"154",1918,2.928064516,0.78,50.3,10858406.29
"155",1918,3.148333333,0.53,42.1,8080868.833
"156",1918,3.567419355,1.66,28.5,7504515.583
"157",1918.65625,4.160645161,0.16,26.4,NA
"158",1919,3.76,0.97,30.7,NA
"159",1919,3.599677419,1.64,36.1,NA
"160",1919,3.974333333,3.83,46.1,NA
"161",1919,3.450645161,6.77,61.5,NA
"162",1919,3.214,1.63,72.6,NA
"163",1918.225806,2.506129032,1.39,76.3,NA
"164",1917.129032,2.981290323,3.02,75.9,NA
"165",1917,3.074333333,2.38,70.2,NA
"166",1917,4.537741935,4.05,52.2,NA
"167",1917,3.462,0.97,38.1,NA
"168",1917,3.909032258,0.11,24.9,NA
"169",1917.5,4.429677419,0.32,25.6,NA
"170",1918,4.426428571,0.33,23.4,NA
"171",1918,3.800967742,0.19,37.2,NA
"172",1918,3.802,2.91,51.6,NA
"173",1918,3.300322581,0.74,62.9,NA
"174",1918,4.561,9.65,72.7,NA
"175",1917.90625,3.04483871,2.19,73.4,NA
"176",1917,3.012258065,5.87,74.1,NA
"177",1917.266667,3.223,3.03,64.6,NA
"178",1918,3.462258065,1.28,54.9,NA
"179",1918,3.457,0.29,34.2,NA
"180",1918.806452,4.013225806,0.76,29.1,NA
"181",1919,4.471935484,0.47,27.6,NA
"182",1919,4.481785714,0.7,23.8,NA
"183",1919,3.967,0.16,43.8,NA
"184",1919.533333,4.14,2.14,52.3,NA
"185",1920,5.17,3.69,59.1,NA
"186",1920,6.669666667,5.67,71.5,NA
"187",1918.967742,4.219354839,2.58,75.6,NA
"188",1917.483871,3.612258065,1.24,72.3,NA
"189",1917,3.675333333,3.33,70.7,NA
"190",1917,3.934516129,1.28,56.6,NA
"191",1917,4.172333333,2.84,43,NA
"192",1917,4.212,1.88,32.2,NA
"193",1917.645161,5.225185185,0.32,27,NA
"194",1918,4.545,1.86,35.3,NA
"195",1918,4.360967742,0.61,45.8,NA
"196",1918,4.567666667,5.05,52.4,NA
"197",1918.322581,5.476451613,6.84,60.2,NA
"198",1918.870968,5.436,0.05,76.4,NA
"199",1917.870968,3.927741935,4.1,76,NA
"200",1916.83871,3.613870968,0.57,73.5,NA
"201",1916,3.996,2.53,66.9,NA
"202",1916.34375,3.901935484,0.12,56.7,NA
"203",1917,4.1525,1.37,45,NA
"204",1917,4.719583333,0.81,25.9,NA
"205",1917,4.882631579,1.07,26.3,NA
"206",1917,4.520740741,0.25,37.8,NA
"207",1917.46875,4.414193548,0.81,42.2,NA
"208",1918,4.145925926,2.64,51.1,NA
"209",1918,4.41516129,5.28,60.3,NA
"210",1917.967742,4.236428571,2.1,74.4,NA
"211",1916.903226,3.569354839,3.05,77.8,NA
"212",1916,3.879,6.19,70.1,NA
"213",1916.9,3.631333333,2.68,67.8,NA
"214",1917,3.852903226,5.36,52.7,NA
"215",1917,3.762,0.51,41.1,NA
"216",1917.774194,3.89173913,0.45,26.6,NA
"217",1918,5.283333333,1.08,23.7,NA
"218",1918,5.2175,0.75,23.1,NA
"219",1918,4.313870968,1.26,40.3,NA
"220",1918,4.255,1.26,43.1,NA
"221",1918.548387,4.197096774,3.98,67,NA
"222",1918.806452,3.943666667,4.61,76.5,NA
"223",1917.83871,3.745,3.58,75.2,NA
"224",1917,3.604193548,2.67,73.4,NA
"225",1917,3.941333333,2.49,67.4,NA
"226",1917,3.836774194,2.88,49.7,NA
"227",1917,4.170344828,1.69,35,NA
"228",1917.366667,4.243103448,3.44,29.9,NA
