"","W80","G42","GO_P","GO_T","Pumping"
"150",2539.266667,4.084827586,0.17,90.5,636354991.7
"151",2539,3.790344828,0.23,95.4,6151971583
"152",2539,4.248064516,1.85,88.7,4176223542
"153",2538.166667,4.506333333,0.22,82.6,98217667.5
"154",2538.65625,4.256451613,0.25,64.6,10858406.29
"155",2539,4.486,0.12,55.9,8080868.833
"156",2539,4.708064516,0.18,42.2,7504515.583
"157",2539.96875,4.98137931,0.08,39.4,NA
"158",2540,4.913214286,0.79,43.4,NA
"159",2540,4.839677419,0.11,51.3,NA
"160",2540.916667,5.487666667,2.26,58.5,NA
"161",2540.21875,4.388064516,1.66,74,NA
"162",2540.266667,3.994333333,0.6,84.6,NA
"163",2539,3.846129032,0.8,85.9,NA
"164",2539.903226,3.95,3.54,86.5,NA
"165",2539.1,4.896333333,1.45,83.2,NA
"166",2540,5.930967742,0.65,66.5,NA
"167",2540,4.686666667,0.65,54.35,NA
"168",2540,4.852758621,0.04,42.2,NA
"169",2540,5.085357143,0.17,42.6,NA
"170",2540.5,5.198148148,0.2,34.4,NA
"171",2540.741935,5.094347826,0.73,53.9,NA
"172",2540.709677,5.251666667,1.73,64.2,NA
"173",2540.258065,4.432903226,0.4,73.9,NA
"174",2540.866667,6.322666667,3.01,82.2,NA
"175",2540.125,4.427741935,0.28,85.8,NA
"176",2539.322581,4.337419355,0.96,85.7,NA
"177",2539.9,4.297333333,0.31,77.7,NA
"178",2539.90625,4.590967742,0.48,69.8,NA
"179",2540,4.504333333,0.03,49,NA
"180",2540,5.473,0.49,39.5,NA
"181",2540.258065,6.59826087,0.1,42.4,NA
"182",2540.896552,5.656428571,0.39,43.4,NA
"183",2540,5.317741935,0.06,63.2,NA
"184",2540.433333,5.404333333,0.75,65,NA
"185",2541.322581,6.733793103,0.8,68,NA
"186",2541.612903,7.970833333,1.05,82.8,NA
"187",2540.645161,5.323333333,0.75,87.4,NA
"188",2540.451613,4.91483871,1.3,83.4,NA
"189",2539.966667,5.080666667,1.56,81.5,NA
"190",2540,5.421290323,0.63,68.2,NA
"191",2540.433333,5.64,0.59,52.8,NA
"192",2541,5.578,0.2,41.8,NA
"193",2541,5.742083333,0.09,40.6,NA
"194",2541.033333,5.908275862,0.74,48.6,NA
"195",2541,5.581935484,0.08,61.1,NA
"196",2541,5.766551724,2.65,63.4,NA
"197",2542,6.837931034,1.25,70.6,NA
"198",2541.193548,6.705666667,1.1,87.4,NA
"199",2540.709677,5.018064516,1,86.5,NA
"200",2540.419355,4.883225806,1.27,83.2,NA
"201",2540.066667,5.283666667,0.51,78.7,NA
"202",2540,5.218387097,0.36,71.9,NA
"203",2540,5.344666667,0.47,58.3,NA
"204",2540.225806,5.124615385,0.35,37.7,NA
"205",2541,5.185714286,0.38,35.9,NA
"206",2541,5.436666667,0.28,50.8,NA
"207",2541.225806,5.543225806,1.08,58.3,NA
"208",2541.033333,5.129333333,1.29,64.2,NA
"209",2541.258065,5.371612903,0.9,71.9,NA
"210",2540.774194,5.151666667,1.4,86.3,NA
"211",2539.935484,4.448709677,0.57,90.5,NA
"212",2540.516129,4.630967742,3.58,83,NA
"213",2540.166667,4.577666667,1.65,80.3,NA
"214",2541.21875,4.585483871,1.95,65.9,NA
"215",2541,4.605,0.11,53.9,NA
"216",2540.935484,4.744230769,0.24,38.5,NA
"217",2541,6.012758621,0.73,36,NA
"218",2541.821429,7.5185,0.2,45.2,NA
"219",2541.16129,5.065333333,0.15,54.4,NA
"220",2541,5.256333333,0.55,58.1,NA
"221",2541.322581,5.067741935,1.6,77.5,NA
"222",2541.032258,4.717,1.38,86.3,NA
"223",2540.83871,4.408709677,1.62,84.6,NA
"224",2540.53125,4.156451613,0.51,76.7666666666667,NA
"225",2540.9,4.686666667,1.48,68.9333333333333,NA
"226",2541.125,4.424516129,0.92,61.1,NA
"227",2541,4.97,0.27,47.9,NA
"228",2541.233333,4.928709677,1.05,39.3,NA
