"","F9.W63","F9.G42","F9.KY_P","F9.KY_T","F9.Pumping"
"56",-0.000941738888202799,0.0272337118784281,0.0147615414437281,-0.00442077291545332,-0.0776997923795454
"57",0.00393984133042569,0.0331060765358136,0.0187907504311165,-0.00338447577555022,-0.114400688994005
"58",0.00909436317050643,0.0399182210810901,0.0224942095497778,-0.00216715079780839,-0.113481402600607
"59",0.0142501377345223,0.0460309623539268,0.0250977582828877,-0.00101714845246623,-0.106169804157298
"60",0.0192465979710887,0.0500365582009014,0.0248240794569641,2.06554774167926e-05,-0.083260926072441
"61",0.023432862166134,0.0520065700841776,0.0226242223290736,0.000847425738440431,-0.0848416785155334
"62",0.0268594249696133,0.0500670638529419,0.0175930640707698,0.00159486191720496,-0.063105059500865
"63",0.0288728900160323,0.0455088093747331,0.0117334884768456,0.0020606539477851,-0.062421027179178
"64",0.029926203718573,0.0390597998731149,0.0053910980762643,0.00271916864641736,-0.0379313875250381
"65",0.0296721382374945,0.0341439259184514,0.00160807150691705,0.00352908532341417,-0.067972680352537
"66",0.0289117641493664,0.0321122397343291,0.000832102995180594,0.00476506297201199,-0.101789975934147
"67",0.0283789493018986,0.0318350475856874,0.000915404424623927,0.00630007494058448,-0.117578186328963
"68",0.0283947794531258,0.0330946621582824,0.00212736538514602,0.00800109563430662,-0.126363396164849
"69",0.0289881057462941,0.0352805349230159,0.00154666269111515,0.00973041641858056,-0.138260065684931
"70",0.0299426056662079,0.0356560494260064,-0.00058204454657787,0.0113124155395781,-0.125741037799848
"71",0.0304273250007631,0.0318314758102561,-0.00697871070804505,0.0125366037412631,-0.092161036401371
"72",0.0295888607269499,0.0235653420525799,-0.0157755061183843,0.0132331879056263,-0.039759978576618
"73",0.0266191463510571,0.0124701688006604,-0.0260107605899608,0.0136351434105711,-0.00411652659893174
"74",0.0213862760753782,-0.000258024819854979,-0.0341637962969146,0.0137668610332374,0.033944133541664
"75",0.0139766849169739,-0.0121036878681562,-0.0391678116451086,0.013442323654416,0.0527860552130805
"76",0.0060530143062284,-0.0209813989285439,-0.0400869210833471,0.0126915812285087,0.0886264034642382
"77",-0.00278232078695141,-0.0256373038172418,-0.0382567495366107,0.0115631924706269,0.0884021461839289
"78",-0.011569886605849,-0.0254423473947734,-0.0331484434249848,0.0101261576619018,0.0819672083155959
"79",-0.0199917492139134,-0.0249121306255231,-0.0287076209303519,0.00846745941012718,0.125274693864052
"80",-0.0278083050945723,-0.0238198566156756,-0.024552432736917,0.00628439448163951,0.152068169912332
"81",-0.0351384942613812,-0.0241517224617796,-0.0237525405189656,0.00409813993181855,0.190365730585002
"82",-0.0434045740669873,-0.0267673697857546,-0.0238831655782342,0.00180595499994374,0.201571056973412
"83",-0.0527309536325301,-0.0303004723433454,-0.0228066772775847,-0.000357343448634949,0.188126479015091
"84",-0.0616453627359229,-0.0324327384349073,-0.0191984574407211,-0.00235323638748537,0.16920287678219
"85",-0.0694590095532466,-0.031449841789464,-0.0124312021541657,-0.00382314660623466,0.131073348586313
"86",-0.0748946716035258,-0.0254299164793941,-0.00288135864746622,-0.00475516733680418,0.0784938369160259
"87",-0.0773378293267853,-0.0162159889674322,0.00822084289934709,-0.00504965080634468,0.0368843225560721
"88",-0.0759061719826491,-0.00501149777539561,0.0190541116604701,-0.00518035484688059,0.0198269262568709
"89",-0.0713309462494848,0.00559707237480539,0.0268843496576746,-0.00516223494344873,0.0135014462028435
"90",-0.0646206151255751,0.0135723391793828,0.0301375708328534,-0.00515689152061464,0.0192322142371078
"91",-0.0575657328279234,0.0163614553188363,0.0303009179464706,-0.0053118630455686,0.0370654954755394
"92",-0.0510108572031113,0.0144279353089004,0.0284661044848895,-0.00583063235141683,0.0631750193785551
"93",-0.0450167423438226,0.0109780287421021,0.0268182406898287,-0.00663744431603646,0.061321164131015
"94",-0.0401942292071352,0.00879009209380561,0.0271090780853175,-0.00758428905361315,0.0357554019198981
"95",-0.0356907069436807,0.00981384958077988,0.0301523635953521,-0.00844104056013275,0.00421885476061312
"96",-0.0309235273132975,0.0135804771192219,0.0362165550155198,-0.00911102805306237,-0.0114126125870297
"97",-0.0248026270508836,0.0209589661108489,0.0429341739869064,-0.00956672085785542,-0.0437626308822344
"98",-0.0171954172447458,0.0290986807278443,0.0477483706381048,-0.00965806813280875,-0.0548734326403008
"99",-0.00843097802650143,0.0362651807779119,0.0498820559146137,-0.00953777377021058,-0.0757975995582996
"100",0.0011824481062554,0.0400479807975764,0.0493208485189069,-0.00930377742464064,-0.0652379169786461
"101",0.0116636782170365,0.0402848362068556,0.0453124769962533,-0.00875754312869435,-0.0587633328803168
