"","W118","G65","DC_P","DC_T","Pumping"
"197",1508.935484,5.66483871,2.33,59.2,NA
"198",1508.580645,4.503,0.63,74.9,NA
"199",1509.096774,4.179032258,1.31,74.2,NA
"200",1509.62069,3.98137931,1.45,72.7,NA
"201",1509.1,4.092666667,1.44,67.1,NA
"202",1508.6875,4.579032258,0.48,55.3,NA
"203",1508,4.426956522,0.69,44.5,NA
"204",1507.580645,4.347407407,0.76,22.9,NA
"205",1507.451613,4.53,0.56,23.6,NA
"206",1507.241379,4.464074074,0.43,34.5,NA
"207",1507,4.4244,0.63,39.9,NA
"208",1507,4.702333333,2.12,50.4,NA
"209",1508.645161,5.967741935,1.42,58.6,NA
"210",1509.032258,4.603333333,1.76,72.4,NA
"211",1509.225806,4.299354839,1.2,76.1,NA
"212",1509.83871,5.512692308,6.01,68.6,NA
"213",1509.266667,4.446333333,1.28,67.1,NA
"214",1509.84375,4.849032258,1.48,52.7,NA
"215",1509.466667,4.448,0.45,37.9,NA
"216",1509,4.361851852,0.23,26,NA
"217",1508.59375,4.292903226,0.43,18.6,NA
"218",1508.035714,4.338888889,0.17,18.9,NA
"219",1508.322581,4.800333333,0.77,37.2,NA
"220",1508,4.56,0.2,40.3,NA
"221",1508,4.706451613,0.62,66.7,NA
"222",1508.193548,4.6092,2.67,74.1,NA
"223",1510,4.761935484,1.85,73.4,NA
"224",1509.4375,4.127419355,1.98,71.7,NA
"225",1509,4.152666667,2.6,66.5,NA
"226",1509,4.494193548,0.98,47.7,NA
"227",1508.566667,4.470666667,0.22,30.9,NA
"228",1508.166667,4.983333333,1.45,26.9,NA
