"","F2.W73","F2.G40","F2.CDY_P","F2.CDY_T","F2.Pumping"
"46",-0.938924259639207,-0.837139859608567,-0.200009508579323,0.0641479896642019,0.0792481765885777
"47",-0.963779686733581,-0.82523376392732,-0.197192560288177,0.0652459643230996,0.0791307083563115
"48",-0.986136372991943,-0.810633688416881,-0.193960669388616,0.0662502459436733,0.0787953733035363
"49",-1.00579745197552,-0.793426620899693,-0.190184246123704,0.0672118535102537,0.0782767556315354
"50",-1.02269492270694,-0.773768246021017,-0.185825781973505,0.068370192568818,0.0776036683366615
"51",-1.03678302694732,-0.751775941987433,-0.180923631490945,0.0696323899526111,0.0767854171045032
"52",-1.04799233840739,-0.727606074371679,-0.175667397409928,0.0708008742240612,0.0757993053178756
"53",-1.0562018390552,-0.701171201091798,-0.169759083722832,0.0718339302957198,0.0745800951199239
"54",-1.06135875042841,-0.672941783805676,-0.163528715231027,0.0725485405919737,0.0731004346374185
"55",-1.06329706512661,-0.642862908407464,-0.156130657483977,0.0728561478238316,0.0713017606641038
"56",-1.06206286192384,-0.611245861894254,-0.149220414378446,0.072649730174782,0.0691766786678516
"57",-1.05784583764561,-0.577907105292761,-0.141382783445329,0.0719764708343535,0.0667043564247307
"58",-1.05056273678219,-0.542732601512601,-0.133492429629637,0.0708111289227633,0.0639514776445823
"59",-1.04011235554909,-0.505729417050421,-0.125209952069569,0.0693616297036977,0.0609657563659264
"60",-1.02652345991088,-0.467160057435668,-0.116759975940065,0.067728786232359,0.0578067973962379
"61",-1.00994105635109,-0.427418280272244,-0.107724009076738,0.0661004039606127,0.0545417465840115
"62",-0.990388763764263,-0.386485413094541,-0.0982821806972397,0.0646700993159373,0.0512394835194859
"63",-0.967961973724954,-0.344638621075745,-0.0884052560349749,0.0633378943138496,0.0479366246728812
"64",-0.9426172610154,-0.301984207259332,-0.0784746164088881,0.0621045076741883,0.0446422277870232
"65",-0.914518847055634,-0.258713690721818,-0.0681139572784207,0.0608277113701454,0.0413185783068153
"66",-0.88365742102765,-0.215037014338857,-0.057587842287614,0.059319872257681,0.0379242796287114
"67",-0.850262601321311,-0.171007437679974,-0.0471357004069793,0.0574929139190887,0.0344041959532761
"68",-0.814124116400731,-0.126283031151369,-0.0363492747725175,0.055237691204728,0.0306624464191655
"69",-0.775541424225128,-0.0811804239599475,-0.0258114291694884,0.0525562802618446,0.0267103560194216
"70",-0.734469042115734,-0.0354874255157834,-0.0151346246820171,0.0495509484340694,0.0225777656431213
"71",-0.690885633451931,0.0107410485996558,-0.00444698101676813,0.0463795128868839,0.0183016443021421
"72",-0.644777047107232,0.0574115707427173,0.00665111039159565,0.0431548500078114,0.0139083028545219
"73",-0.59619282567391,0.104265027356581,0.0179701048839028,0.040065905355124,0.0094461107267076
"74",-0.545263954675899,0.151114088295973,0.0295225262829109,0.0370507465110599,0.00494382571867848
"75",-0.492152213538842,0.197647838060031,0.0412303396110605,0.0342828877739951,0.000421172601862349
"76",-0.436967007456493,0.243670060294778,0.0527743591370882,0.0316809237825536,-0.00411042989322432
"77",-0.379853232512265,0.289096735085071,0.0647230937076539,0.0290618834278032,-0.00865713415928108
"78",-0.320607307638668,0.334099824190265,0.0768883401205927,0.0262679350803238,-0.013276939714817
"79",-0.259362855172648,0.378493603843242,0.0888146602675667,0.0232476912718944,-0.0179693341596822
"80",-0.196127557227045,0.42217681963192,0.100505335753517,0.0199203888794893,-0.0227476865286783
"81",-0.131638530878391,0.464678833190009,0.11141356773413,0.0163330992376111,-0.0275307927925495
"82",-0.0661871953650951,0.506092161868457,0.121967404782793,0.0126163883007912,-0.0322747418125016
"83",0.000116950055464637,0.546367874309245,0.132010494893958,0.00891609923422599,-0.0369454079864908
"84",0.0670991990659931,0.585430871374548,0.141828994233706,0.00537000110643452,-0.0415075031646929
"85",0.134517544248906,0.622895869499751,0.151077143821216,0.00200361961478862,-0.0459020051590744
"86",0.202133846026384,0.658741576504281,0.159991262884847,-0.00103161941951773,-0.050107663343926
"87",0.269285122437847,0.69160143219922,0.168307187883304,-0.00363786188469977,-0.0540422786419386
"88",0.335957802048484,0.722244090940386,0.176022137049156,-0.00604356758869333,-0.0577612437942175
"89",0.401914976775282,0.75062189367022,0.183030745057987,-0.00836462089948185,-0.0612960599322606
"90",0.466897287325626,0.776589710233998,0.189171265021516,-0.0106897733683784,-0.0646646834569755
"91",0.530536440818106,0.799942677695668,0.194342876513213,-0.0130901350039632,-0.0678949951759032
"92",0.592560303194723,0.820676996480837,0.19852696448853,-0.0156451225689245,-0.071008282507087
"93",0.652612784259547,0.838717749224825,0.201854349112456,-0.0184081864022066,-0.0739962351723717
"94",0.7106436977912,0.854257555354421,0.204539459273345,-0.0212467949634531,-0.0768161421830506
"95",0.766624420970281,0.867354729832625,0.206615631084111,-0.0240549558984805,-0.0794446831796492
"96",0.82049244848143,0.877978479143721,0.208084570478086,-0.0266961833601355,-0.0818624019682668
"97",0.872150970450466,0.886011608904721,0.20905207174592,-0.0290235111419539,-0.0840431021594596
"98",0.921287448980793,0.891316646065142,0.209528885904503,-0.0309958025354744,-0.0859122270196677
"99",0.967637453121557,0.893824901443481,0.209517043357525,-0.032641101944379,-0.0874233273855628
"100",1.01121228165283,0.893698795582703,0.209009205028254,-0.0339913925167046,-0.0885724061327882
"101",1.05186769699858,0.890913578272146,0.207905416766376,-0.0351769821019989,-0.0893973252204125
"102",1.0891999453736,0.885222530062906,0.206149843023754,-0.0362402881529927,-0.0898884487349299
"103",1.12282739971791,0.876635339146692,0.203510891279908,-0.0372980961564944,-0.0900893240619158
"104",1.15275650877047,0.865494456639523,0.200128954370337,-0.0384563122614441,-0.0900406396372027
"105",1.17875087400196,0.851843455758025,0.196151426420704,-0.039698715648398,-0.0897740589200035
"106",1.20091593405411,0.835845977831441,0.191666399172841,-0.0409508938315805,-0.0892634054373501
"107",1.21924248822173,0.817522965863757,0.18639491981681,-0.04214093850082,-0.0884768531341645
"108",1.23370866234363,0.79695737884421,0.180701941206641,-0.0431794650370967,-0.0874199146886223
"109",1.24442087285427,0.774286308494757,0.174790010293579,-0.0438909308458935,-0.0860848775463373
"110",1.25423900244569,0.751796088221665,0.169663826636057,-0.0447631511258312,-0.0844546415522371
"111",1.26031329081488,0.727048566635163,0.164117184091894,-0.0453560632439448,-0.0825034238421633
"112",1.26270760736189,0.700170489505668,0.15815823608105,-0.0457265565021667,-0.0802408966413947
"113",1.26153108195578,0.671318217893231,0.151777341285096,-0.0459500415851786,-0.0777241936419621
"114",1.25683741946021,0.640600877847025,0.144961898192753,-0.0461177156982643,-0.0750134763549464
"115",1.24854887440139,0.608047804942904,0.137676666309947,-0.0462847328851024,-0.0721807509765313
"116",1.23664229256502,0.573770807735589,0.129947386012726,-0.0464705310755254,-0.0692558277576771
"117",1.22103615399941,0.537826072642925,0.121771971773003,-0.0466509694451834,-0.066254920489039
"118",1.20182231553257,0.500383641077908,0.113233101811002,-0.0467740939622038,-0.0631560913174609
"119",1.178972670237,0.461479426607231,0.104359372684079,-0.0467577911896183,-0.05992090695383
"120",1.1524198181842,0.421163391745068,0.0952161092638937,-0.0465218503826976,-0.0565275260427061
"121",1.12636905917821,0.379322354433111,0.0861745498850696,-0.0458707772194409,-0.0538084705011462
"122",1.09669151774114,0.336350332036395,0.0770348595535266,-0.0449751945742993,-0.0510788626192604
"123",1.06353417961115,0.292433184253044,0.0677555290191737,-0.0438346449536463,-0.0484018638841836
"124",1.02695914569639,0.247583205807038,0.0582943643653605,-0.0425511612402966,-0.0457950291059367
"125",0.987031675496867,0.20194202927676,0.0485598827492625,-0.0412199423479575,-0.0432932877667943
"126",0.943906847759814,0.155767073547297,0.0385430735252727,-0.0398398110029601,-0.0408941131206887
"127",0.897531228800876,0.108992348576893,0.0279980437515761,-0.0384695628894178,-0.0383407027869496
"128",0.848002815673229,0.0619492888087839,0.0175588782361284,-0.0370999693477928,-0.0351462466912779
"129",0.795401868614082,0.0147100871093232,0.00696196860065814,-0.0356934580926583,-0.0315917665340061
"130",0.740202671433067,-0.0324180960977013,-0.00352387120371826,-0.0342258680200072,-0.0277946589211373
"131",0.682623825684157,-0.0792146460706745,-0.0138079188660775,-0.0326626869023669,-0.0239171970688957
"132",0.622827310883069,-0.125570030085372,-0.0238801676822527,-0.031025661072089,-0.020058840261045
"133",0.560928989349272,-0.17139864604375,-0.0338030238064129,-0.029289959237981,-0.0162388849096095
"134",0.497164252841396,-0.216530379048673,-0.0435269496444599,-0.0273859348553692,-0.0125969687990594
"135",0.431725669218789,-0.260860418489068,-0.0530631118863455,-0.0254097067924972,-0.00915593430346059
"136",0.36491939291818,-0.304257485522354,-0.0624202875059736,-0.0234135692808888,-0.00599926919991676
"137",0.297017190405058,-0.346635776060148,-0.0716412658029719,-0.0214194034387376,-0.00319956304280174
"138",0.228295822875259,-0.387929421716188,-0.0806189517679802,-0.0194665720993964,-0.000741259895797905
"139",0.158617889308057,-0.428205933742526,-0.089648882495286,-0.0176011745528465,0.00176611284574303
"140",0.0877898983833423,-0.467427128333821,-0.0984939118922868,-0.0158094958206186,0.00537912957945412
"141",0.0158760754241349,-0.505634184087081,-0.107271300065441,-0.0140727940181966,0.0098569381153357
"142",-0.0567448444659989,-0.542503067020438,-0.115619501060326,-0.0123281740645929,0.0148083764602371
"143",-0.129868938716873,-0.577892092147257,-0.123776311364122,-0.0105856085352887,0.0200576721072908
"144",-0.203377918679255,-0.611671671540378,-0.131612896557251,-0.0087756264383046,0.025416854108418
"145",-0.277039624360665,-0.643724217689372,-0.139057025764494,-0.00691417762686476,0.0308961067947509
"146",-0.350616133104214,-0.673899250749305,-0.146024584235967,-0.00505861689513992,0.0364660732013236
"147",-0.423834747785709,-0.702107643737274,-0.152605314611588,-0.00323522799765703,0.042003399192753
"148",-0.496370004536432,-0.728248989434665,-0.158718443772193,-0.00165884173061085,0.0474663408191629
"149",-0.567875515798275,-0.752231216569773,-0.164541688600747,-0.000228224263554796,0.0528838834931312
"150",-0.638175276765181,-0.773982758484122,-0.169869459988219,0.000996932242781198,0.058436688956201
"151",-0.706982865723513,-0.793330277509587,-0.174692754942684,0.00208695092598957,0.0646723364967524
"152",-0.774083081793751,-0.810207295619794,-0.178960567802395,0.00304407181682397,0.068935151166691
"153",-0.839071521028006,-0.82465486072208,-0.182344843990866,0.00391533834556406,0.0696437413864758
"154",-0.901453930484621,-0.836692346319626,-0.185084571036712,0.00474581383659722,0.0716936777885849
"155",-0.961146770241714,-0.846350402107437,-0.187151586624398,0.00554054693472085,0.0745560097687376
"156",-1.01804239383433,-0.853627294323532,-0.188521807367034,0.00633188910852394,0.0775166880387512
"157",-1.07200303733003,-0.858480081609253,-0.189251369982994,0.00717405345646264,NA
