"","W67","G45","KY_P","KY_T","Pumping"
"217",2037.35871,4.343870968,0.96,21.6,NA
"218",2037.425714,3.85,0.73,21.7,NA
"219",2037.516129,3.268709677,1.05,39,NA
"220",2037.602333,3.334666667,2.03,41.2,NA
"221",2037.731935,3.178387097,5.56,64.3,NA
"222",2037.816452,2.837666667,2.87,74.7,NA
"223",2037.306129,2.640322581,6.07,73.8,NA
"224",2036.556452,2.41516129,2.05,71.1,NA
"225",2036.297333,2.856,1.85,66.7,NA
"226",2036.392188,2.653548387,3.5,47.3,NA
"227",2036.537333,3.230333333,0.85,33.9,NA
"228",2036.656333,3.216129032,3.49,27.9,NA
